,#Digilent WaveForms Oscilloscope XY,
,#Device Name: Discovery2,
,#Serial Number: SN:210321AA2225,
,#Date Time: 2019-02-11 12:30:44.188,
,,
Times,Channel2V,Math 1 (A)
-0.00213609,-2.75103,-0.0183402
-0.00213551,-2.75103,-0.0183402
-0.00213493,-2.75103,-0.0183402
-0.00213435,-2.75103,-0.0183402
-0.00213377,-2.75103,-0.0183402
-0.00213319,-2.75103,-0.0183402
-0.00213261,-2.75103,-0.0183402
-0.00213203,-2.75103,-0.0183402
-0.00213145,-2.75103,-0.0183402
-0.00213087,-2.75103,-0.0183402
-0.00213029,-2.75103,-0.0183402
-0.00212971,-2.75103,-0.0183402
-0.00212913,-2.75103,-0.0183402
-0.00212855,-2.75103,-0.0183402
-0.00212797,-2.75103,-0.0183402
-0.00212739,-2.75103,-0.0183402
-0.00212681,-2.75103,-0.0183402
-0.00212623,-2.75103,-0.0183402
-0.00212565,-2.75103,-0.0183402
-0.00212507,-2.75103,-0.0183402
-0.00212449,-2.75103,-0.0183402
-0.00212391,-2.75103,-0.0183402
-0.00212333,-2.75103,-0.0183402
-0.00212275,-2.75103,-0.0183402
-0.00212217,-2.75103,-0.0183402
-0.00212159,-2.75103,-0.0183402
-0.00212101,-2.75103,-0.0183402
-0.00212043,-2.75103,-0.0183402
-0.00211985,-2.75103,-0.0183402
-0.00211927,-2.75103,-0.0183402
-0.00211869,-2.75103,-0.0183402
-0.00211811,-2.75103,-0.0183402
-0.00211753,-2.75103,-0.0183402
-0.00211695,-2.75103,-0.0183402
-0.00211637,-2.75103,-0.0183402
-0.00211579,-2.75103,-0.0183402
-0.00211521,-2.75103,-0.0183402
-0.00211463,-2.75103,-0.0183402
-0.00211405,-2.75103,-0.0183402
-0.00211347,-2.75103,-0.0183402
-0.00211289,-2.75103,-0.0183402
-0.00211231,-2.75103,-0.0183402
-0.00211173,-2.75103,-0.0183402
-0.00211115,-2.75103,-0.0183402
-0.00211057,-2.75103,-0.0183402
-0.00210999,-2.75103,-0.0183402
-0.00210941,-2.75103,-0.0183402
-0.00210883,-2.75103,-0.0183402
-0.00210825,-2.75103,-0.0183402
-0.00210767,-2.75103,-0.0183402
-0.00210709,-2.75103,-0.0183402
-0.00210651,-2.75103,-0.0183402
-0.00210593,-2.75103,-0.0183402
-0.00210535,-2.75103,-0.0183402
-0.00210477,-2.75103,-0.0183402
-0.00210419,-2.75103,-0.0183402
-0.00210361,-2.75103,-0.0183402
-0.00210303,-2.75103,-0.0183402
-0.00210245,-2.75103,-0.0183402
-0.00210187,-2.75103,-0.0183402
-0.00210129,-2.75103,-0.0183402
-0.00210071,-2.75103,-0.0183402
-0.00210013,-2.75103,-0.0183402
-0.00209955,-2.75103,-0.0183402
-0.00209897,-2.75103,-0.0183402
-0.00209839,-2.75103,-0.0183402
