#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321AA22EE,,
#Date Time: 2019-03-18 13:31:11.950,,
#Sample rate: 4000Hz,,
#Samples: 8192,,
#Trigger: Source: voltage of transistor Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,
#voltage of small resistor (470): Range: 500 mV/div Offset: 0 V,,
#current of small resistor: Function: C1 / 470,,
,,
Time (s),voltage of small resistor (470) (V),current of small resistor (mA)
-0.93625,1.27381,0.00271024
-0.936,1.27012,0.00270237
-0.93575,1.26642,0.00269451
-0.9355,1.26239,0.00268593
-0.93525,1.25869,0.00267806
-0.935,1.25499,0.00267019
-0.93475,1.25129,0.00266233
-0.9345,1.24793,0.00265518
-0.93425,1.24424,0.00264731
-0.934,1.24054,0.00263944
-0.93375,1.23651,0.00263086
-0.9335,1.23315,0.00262371
-0.93325,1.22978,0.00261656
-0.933,1.22609,0.0026087
-0.93275,1.22239,0.00260083
-0.9325,1.21903,0.00259368
-0.93225,1.215,0.0025851
-0.932,1.21164,0.00257795
-0.93175,1.20827,0.0025708
-0.9315,1.20458,0.00256293
-0.93125,1.20122,0.00255578
-0.931,1.19752,0.00254791
-0.93075,1.19416,0.00254076
-0.9305,1.1908,0.00253361
-0.93025,1.18744,0.00252646
-0.93,1.18374,0.00251859
-0.92975,1.18038,0.00251144
-0.9295,1.17702,0.00250429
-0.92925,1.17332,0.00249643
-0.929,1.16996,0.00248928
-0.92875,1.1666,0.00248213
-0.9285,1.16324,0.00247497
-0.92825,1.15988,0.00246782
-0.928,1.15618,0.00245996
-0.92775,1.15282,0.00245281
-0.9275,1.14979,0.00244637
-0.92725,1.1461,0.0024385
-0.927,1.14307,0.00243207
-0.92675,1.13971,0.00242492
-0.9265,1.13635,0.00241777
-0.92625,1.13265,0.0024099
-0.926,1.12963,0.00240347
-0.92575,1.12627,0.00239631
-0.9255,1.12291,0.00238916
-0.92525,1.11955,0.00238201
-0.925,1.11619,0.00237486
-0.92475,1.11282,0.00236771
-0.9245,1.10946,0.00236056
-0.92425,1.10644,0.00235412
-0.924,1.10308,0.00234697
-0.92375,1.09972,0.00233982
-0.9235,1.09669,0.00233339
-0.92325,1.09333,0.00232624
-0.923,1.09031,0.0023198
-0.92275,1.08695,0.00231265
-0.9225,1.08358,0.0023055
-0.92225,1.08056,0.00229906
-0.922,1.07753,0.00229263
-0.92175,1.07417,0.00228548
-0.9215,1.07081,0.00227832
-0.92125,1.06745,0.00227117
-0.921,1.06443,0.00226474
-0.92075,1.0614,0.0022583
-0.9205,1.05838,0.00225187
-0.92025,1.05502,0.00224472
-0.92,1.05199,0.00223828
-0.91975,1.04863,0.00223113
-0.9195,1.04561,0.00222469
-0.91925,1.04224,0.00221754
-0.919,1.03922,0.00221111
-0.91875,1.0362,0.00220467
-0.9185,1.03317,0.00219823
-0.91825,1.02981,0.00219108
-0.918,1.02678,0.00218465
-0.91775,1.02342,0.0021775
-0.9175,1.0204,0.00217106
-0.91725,1.01737,0.00216463
-0.917,1.01435,0.00215819
-0.91675,1.01166,0.00215247
-0.9165,1.0083,0.00214532
-0.91625,1.00527,0.00213888
-0.916,1.00225,0.00213245
-0.91575,0.999225,0.00212601
-0.9155,0.9962,0.00211958
-0.91525,0.993175,0.00211314
-0.915,0.990151,0.0021067
-0.91475,0.987126,0.00210027
-0.9145,0.984101,0.00209383
-0.91425,0.981076,0.0020874
-0.914,0.978051,0.00208096
-0.91375,0.975026,0.00207452
-0.9135,0.972338,0.0020688
-0.91325,0.968977,0.00206165
-0.913,0.966288,0.00205593
-0.91275,0.963263,0.0020495
-0.9125,0.960238,0.00204306
-0.91225,0.957214,0.00203662
-0.912,0.954189,0.00203019
-0.91175,0.951164,0.00202375
-0.9115,0.948475,0.00201803
-0.91125,0.94545,0.0020116
-0.911,0.942426,0.00200516
-0.91075,0.939401,0.00199872
-0.9105,0.936376,0.00199229
-0.91025,0.933687,0.00198657
-0.91,0.930662,0.00198013
-0.90975,0.927974,0.00197441
-0.9095,0.924949,0.00196798
-0.90925,0.921924,0.00196154
-0.909,0.919235,0.00195582
-0.90875,0.91621,0.00194938
-0.9085,0.913186,0.00194295
-0.90825,0.910497,0.00193723
-0.908,0.907472,0.00193079
-0.90775,0.904783,0.00192507
-0.9075,0.901758,0.00191863
-0.90725,0.89907,0.00191291
-0.907,0.896045,0.00190648
-0.90675,0.89302,0.00190004
-0.9065,0.890331,0.00189432
-0.90625,0.887643,0.0018886
-0.906,0.884618,0.00188217
-0.90575,0.881929,0.00187644
-0.9055,0.878904,0.00187001
-0.90525,0.876215,0.00186429
-0.905,0.873191,0.00185785
-0.90475,0.870502,0.00185213
-0.9045,0.867477,0.0018457
-0.90425,0.864788,0.00183998
-0.904,0.861763,0.00183354
-0.90375,0.859075,0.00182782
-0.9035,0.85605,0.00182138
-0.90325,0.853361,0.00181566
-0.903,0.850672,0.00180994
-0.90275,0.847984,0.00180422
-0.9025,0.845295,0.0017985
-0.90225,0.842606,0.00179278
-0.902,0.839581,0.00178634
-0.90175,0.836557,0.00177991
-0.9015,0.834204,0.0017749
-0.90125,0.831515,0.00176918
-0.901,0.828826,0.00176346
